location,district,rooms,size,level,max_levels,price
"город Ташкент, Яшнободский район, Садыка Азимова (Жуковского) ",Яшнободский,2,65,2,4,68000
"город Ташкент, Мирзо-Улугбекский район, Алтынтепа",Мирзо-Улугбекский,3,115,4,4,87000
"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,2,75,1,8,60000
"город Ташкент, Олмазорский район, Каракамыш квартал 2/4",Олмазорский,4,80,1,4,53000
"город Ташкент, Мирзо-Улугбекский район, Городок Тракторостроителей 1-й квартал",Мирзо-Улугбекский,2,52,3,4,35500
"город Ташкент, Шайхантахурский район, Коратош",Шайхантахурский,4,100,2,9,72000
"город Ташкент, Олмазорский район, Файзибаланд",Олмазорский,2,74,4,9,41000
"город Ташкент, Шайхантахурский район, Ипакчи",Шайхантахурский,5,150,2,2,138000
"город Ташкент, Мирзо-Улугбекский район, Ялангач",Мирзо-Улугбекский,2,50,1,4,30000
"город Ташкент, Мирзо-Улугбекский район, Кары-Ниязи",Мирзо-Улугбекский,3,94,16,23,118000
"город Ташкент, Мирзо-Улугбекский район, Карасу 6-й квартал",Мирзо-Улугбекский,3,83,6,16,83000
"город Ташкент, Мирабадский район, проспект Амира Темура",Мирабадский,3,75,3,9,70000
"город Ташкент, Мирабадский район, Айбека (пр-т Косманавтов) ",Мирабадский,3,75,2,9,74000
"город Ташкент, Мирабадский район, проспект Амира Темура",Мирабадский,2,65,8,9,52000
"город Ташкент, Шайхантахурский район, проспект Бунёдкор",Шайхантахурский,3,75,5,9,52000
"город Ташкент, Мирабадский район, Тараса Шевченко",Мирабадский,3,110,2,8,169000
"город Ташкент, Мирзо-Улугбекский район, Элобод",Мирзо-Улугбекский,2,4,1,3,26000
"город Ташкент, Мирзо-Улугбекский район, Мирзо Улугбека",Мирзо-Улугбекский,2,52,4,5,36500
"город Ташкент, Олмазорский район, Малая кольцевая дорога",Олмазорский,3,83,4,9,55000
"город Ташкент, Учтепинский район, Чиланзар 21-й квартал",Учтепинский,1,34,2,4,28500
"город Ташкент, Мирабадский район, Куйлюк 3-й квартал",Мирабадский,4,85,3,4,55000
"город Ташкент, Юнусабадский район, Киёт",Юнусабадский,3,78,4,4,55000
"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Учтепинский,2,52,4,5,33500
"город Ташкент, Мирзо-Улугбекский район, Городок Тракторостроителей 2-й квартал",Мирзо-Улугбекский,2,60,6,9,34000
"город Ташкент, Яшнободский район, Паркент",Яшнободский,3,75,5,9,Договорная
"город Ташкент, Мирзо-Улугбекский район, Военный госпиталь",Мирзо-Улугбекский,1,35,4,4,27000
"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,1,30,2,4,27000
"город Ташкент, Мирабадский район, ОЙБЕК( Шох.Мед. Центр)",Мирабадский,3,110,7,9,130000
"город Ташкент, Яккасарайский район, Абдуллы Каххара",Яккасарайский,1,35,16,16,17700
"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Учтепинский,2,42,4,5,28500
"город Ташкент, Олмазорский район, Сагбан",Олмазорский,3,107,2,7,105000
"город Ташкент, Яккасарайский район, Башлык",Яккасарайский,4,100,9,9,50000
"город Ташкент, Мирабадский район, Айбек",Мирабадский,3,87,3,9,84000
"город Ташкент, Олмазорский район, Пахта",Олмазорский,3,107,3,7,102000
"город Ташкент, Шайхантахурский район, Международный деловой центр Tashkent City",Шайхантахурский,3,85,4,7,170000
"город Ташкент, Мирзо-Улугбекский район, Буз-1 (Буз базар) ",Мирзо-Улугбекский,2,40,2,5,33500
"город Ташкент, Юнусабадский район, Юнусабад 11-й квартал",Юнусабадский,4,78,1,4,52000
"город Ташкент, Мирзо-Улугбекский район, Буз-1 (Буз базар) ",Мирзо-Улугбекский,2,55,5,5,35000
"город Ташкент, Мирзо-Улугбекский район, Олой",Мирзо-Улугбекский,2,50,4,4,33000
"город Ташкент, Мирзо-Улугбекский район, Буз-1 (Буз базар) ",Мирзо-Улугбекский,2,50,5,5,35000
"город Ташкент, Юнусабадский район, Юнусабад 18-й квартал",Юнусабадский,3,70,3,4,47000
"город Ташкент, Мирзо-Улугбекский район, Буз-1 (Буз базар) ",Мирзо-Улугбекский,2,58,4,4,34996
"город Ташкент, Яккасарайский район, Нукус",Яккасарайский,1,43,5,16,37000
"город Ташкент, Яккасарайский район, пр-т Бабура",Яккасарайский,3,62,7,9,45000
"город Ташкент, Яккасарайский район, пр-т Бабура",Яккасарайский,3,63,7,9,45000
"город Ташкент, Юнусабадский район, Юнусабад 9-й квартал",Юнусабадский,2,60,3,5,39000
"город Ташкент, Юнусабадский район, Эски Юнусабад",Юнусабадский,2,58,2,4,41500
"город Ташкент, Юнусабадский район, Юнусабад 13-й квартал",Юнусабадский,2,58,5,9,42000
"город Ташкент, Юнусабадский район, Юнусабад 16-й квартал",Юнусабадский,2,58,5,9,42000
"город Ташкент, Мирзо-Улугбекский район, Феруза-2",Мирзо-Улугбекский,1,42,1,4,26500
"город Ташкент, Юнусабадский район, Юнусабад 4-й квартал",Юнусабадский,2,65,5,9,42000
"город Ташкент, Юнусабадский район, Юнусабад 11-й квартал",Юнусабадский,2,55,1,9,42000
"город Ташкент, Шайхантахурский район, Актепа",Шайхантахурский,6,500,2,2,1800
"город Ташкент, Юнусабадский район, 6-й проезд Халкобод",Юнусабадский,4,110,4,9,96000
"город Ташкент, Мирабадский район, Сарыкульская",Мирабадский,3,62,4,4,33000
"город Ташкент, Учтепинский район, Такачи",Учтепинский,1,45,5,9,25600
"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,2,47.30,7,9,52000
"город Ташкент, Юнусабадский район, Юнусабад 18-й квартал",Юнусабадский,2,63,1,4,40000
"город Ташкент, Яшнободский район, Паркентский",Яшнободский,2,64,4,9,52000
"город Ташкент, Шайхантахурский район, 1-й проезд Бельтепа",Шайхантахурский,1,50,9,9,23000
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,60,2,4,38000
"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,2,60,1,4,47500
"город Ташкент, Мирзо-Улугбекский район, Оккургон",Мирзо-Улугбекский,4,139,5,9,295000
"город Ташкент, Мирзо-Улугбекский район, проспект Мустакиллик",Мирзо-Улугбекский,2,60,1,9,49000
"город Ташкент, Мирабадский район, Тараса Шевченко",Мирабадский,3,100,4,4,87000
"город Ташкент, Яккасарайский район, Нукус",Яккасарайский,4,120,1,4,132000
"город Ташкент, Мирзо-Улугбекский район, Хамид Олимжон",Мирзо-Улугбекский,2,65,3,4,56500
"город Ташкент, Юнусабадский район, Ц-6",Юнусабадский,3,70,3,4,63000
"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак Йули",Мирзо-Улугбекский,2,55,4,4,52500
"город Ташкент, Шайхантахурский район, Джангох",Шайхантахурский,3,73,1,9,75000
"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули (Луначарское) ",Мирзо-Улугбекский,5,157,1,4,150000
"город Ташкент, Мирабадский район, Нукус",Мирабадский,2,60,2,6,77000
"город Ташкент, Мирзо-Улугбекский район, Лашкарбеги",Мирзо-Улугбекский,3,94,16,22,118000
"город Ташкент, Мирзо-Улугбекский район, ТТЗ-1",Мирзо-Улугбекский,1,36,4,4,21000
"город Ташкент, Мирзо-Улугбекский район, ТТЗ-2",Мирзо-Улугбекский,2,62,9,9,28000
"город Ташкент, Юнусабадский район, ТашГРЭС",Юнусабадский,3,75,3,4,43000
"город Ташкент, Олмазорский район, Бешкурган 4-й квартал",Олмазорский,4,86,4,5,40000
"город Ташкент, Сергелийский район, Сергели-IV",Сергелийский,1,32,1,1,16500
"город Ташкент, Олмазорский район, Каракамыш квартал 1/2",Олмазорский,3,70,2,5,36000
"город Ташкент, Юнусабадский район, Кашгар",Юнусабадский,1,43,1,4,45000
"город Ташкент, Юнусабадский район, Киёт",Юнусабадский,1,43,3,4,39000
"город Ташкент, Яшнободский район, 2-й проезд Мухтара Ашрафи",Яшнободский,2,47.20,3,4,30000
"город Ташкент, Юнусабадский район, Киёт",Юнусабадский,5,140,8,9,85000
"город Ташкент, Янгихаётский район, Спутник-8",Янгихаётский,2,63,2,7,26500
"город Ташкент, Шайхантахурский район, Самарканд Дарвоза",Шайхантахурский,3,85,4,12,53000
"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,3,98,8,9,60000
"город Ташкент, Мирабадский район, Садыка Азимова (Жуковского) ",Мирабадский,1,35,4,4,48000
"город Ташкент, Юнусабадский район, Юнусабад 9-й квартал",Юнусабадский,3,80,1,5,50000
"город Ташкент, Шайхантахурский район, Караташ",Шайхантахурский,7,230,2,5,230000
"город Ташкент, Мирабадский район, Афросиаб",Мирабадский,2,65,2,9,60000
"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,2,70,2,7,56000
"город Ташкент, Чиланзарский район, Шарк",Чиланзарский,3,77,1,4,48000
"город Ташкент, Чиланзарский район, Чиланзар-10",Чиланзарский,2,50,3,5,34500
"город Ташкент, Чиланзарский район",Чиланзарский,2,48,3,4,31000
"город Ташкент, Чиланзарский район",Чиланзарский,2,50,3,5,35500
"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,2,60,4,5,37500
"город Ташкент, Чиланзарский район",Чиланзарский,2,54,3,5,36500
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,42,4,9,28500
"город Ташкент, Чиланзарский район, Чиланзар-10",Чиланзарский,1,36,3,5,27500
"город Ташкент, Олмазорский район, Каракамыш квартал 2/1",Олмазорский,3,58,2,9,37751
"город Ташкент, Мирзо-Улугбекский район, ДАРХАН (спец.план)",Мирзо-Улугбекский,3,117,2,5,132000
"город Ташкент, Мирабадский район, Госпитальный",Мирабадский,6,170,8,9,130000
"город Ташкент, Мирзо-Улугбекский район, Ц1(под офис)",Мирзо-Улугбекский,3,103,1,4,170000
"город Ташкент, Чиланзарский район, Чиланзар 3 квартал",Чиланзарский,2,45,1,4,39500
"город Ташкент, Мирабадский район, Пирмухамедова",Мирабадский,2,60,2,6,77000
"город Ташкент, Мирабадский район, Нукус",Мирабадский,4,120,1,4,132000
"город Ташкент, Шайхантахурский район, Лабзак",Шайхантахурский,2,65,2,4,56500
"город Ташкент, Яккасарайский район, Хазинабог",Яккасарайский,2,55,4,4,37000
"город Ташкент, Мирабадский район, Госпитальный",Мирабадский,3,85,5,9,74000
"город Ташкент, Мирабадский район, Мирабад",Мирабадский,4,115,5,5,115000
"город Ташкент, Яккасарайский район, Шота Руставели",Яккасарайский,2,51,2,4,48000
"город Ташкент, Юнусабадский район, Юнусабад 9-й квартал",Юнусабадский,3,73,3,5,60000
"город Ташкент, Учтепинский район, Чиланзаре 25",Учтепинский,2,56,3,5,32000
"город Ташкент, Яккасарайский район, Нукус",Яккасарайский,1,43,5,16,37000
"город Ташкент, Чиланзарский район, Домбрабад",Чиланзарский,2,46,3,4,25000
"город Ташкент, Учтепинский район, Фозилтепа",Учтепинский,1,26.40,1,4,18500
"город Ташкент, Шайхантахурский район, Лабзак",Шайхантахурский,2,65,3,4,56500
"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Учтепинский,1,40,1,5,25200
"город Ташкент, Шайхантахурский район, Лабзак",Шайхантахурский,3,70,2,4,55000
"город Ташкент, Мирзо-Улугбекский район, Карасу 3-й квартал",Мирзо-Улугбекский,4,92,4,5,54600
"город Ташкент, Шайхантахурский район, Рабочий городок",Шайхантахурский,3,75,1,9,78000
"город Ташкент, Сергелийский район, Sergli 6a",Сергелийский,2,49,6,7,Договорная
"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,3,73,7,8,47500
"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,3,67,2,4,52500
"город Ташкент, Мирабадский район, Тараса Шевченко",Мирабадский,2,60,2,6,77000
"город Ташкент, Сергелийский район, Чоштепа",Сергелийский,3,71,3,7,52000
"город Ташкент, Мирзо-Улугбекский район, Карасу 6-й квартал",Мирзо-Улугбекский,3,75,5,5,39000
"город Ташкент, Шайхантахурский район, Бешагач",Шайхантахурский,3,75,2,4,67000
"город Ташкент, Шайхантахурский район, Лабзак",Шайхантахурский,2,65,3,4,56000
"город Ташкент, Юнусабадский район, Киёт",Юнусабадский,1,50,7,9,36998
"город Ташкент, Олмазорский район, Каракамыш квартал 2/1",Олмазорский,1,43,4,4,27000
"город Ташкент, Юнусабадский район, ц-6 Минор (Ц-6) ",Юнусабадский,2,60,2,9,52000
"город Ташкент, Мирабадский район, Тараса Шевченко",Мирабадский,2,68,8,8,90000
"город Ташкент, Олмазорский район, Себзар",Олмазорский,4,85,3,5,78000
"город Ташкент, Юнусабадский район, Гайратий",Юнусабадский,2,55,1,3,43500
"город Ташкент, Учтепинский район, 1-й проезд Катта Каъни",Учтепинский,2,57,5,5,36000
"город Ташкент, Мирабадский район, Нукус",Мирабадский,4,120,1,5,134500
"город Ташкент, Мирабадский район, Тараса Шевченко",Мирабадский,2,70,7,8,65000
"город Ташкент, Юнусабадский район, Юнусабад 13-й квартал",Юнусабадский,2,58,2,4,45000
"город Ташкент, Мирабадский район, Миробод",Мирабадский,3,108,5,10,103000
"город Ташкент, Яккасарайский район, Ракат",Яккасарайский,4,90,3,4,88000
"город Ташкент, Олмазорский район, Олмазорский район массив Себзар",Олмазорский,4,100,9,9,62500
"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Учтепинский,1,40,1,5,25150
"город Ташкент, Олмазорский район, Олмазорский район массив Себзар",Олмазорский,3,75,1,9,73000
"город Ташкент, Мирзо-Улугбекский район, Паркентская",Мирзо-Улугбекский,3,71,3,8,53000
"город Ташкент, Мирзо-Улугбекский район, Карасу 6-й квартал",Мирзо-Улугбекский,2,78,1,4,26500
"город Ташкент, Чиланзарский район, Алмазар",Чиланзарский,5,169,5,9,93000
"город Ташкент, Юнусабадский район, Минор",Юнусабадский,2,62,3,4,55000
"город Ташкент, Олмазорский район, Каракамиш",Олмазорский,2,46,4,4,30000
"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Чиланзарский,2,70,9,12,42000
"город Ташкент, Мирзо-Улугбекский район, Новомосковкая Голден Хаус",Мирзо-Улугбекский,3,152,4,8,285000
"город Ташкент, Мирзо-Улугбекский район, Ахмада Югнаки",Мирзо-Улугбекский,2,48,9,9,Договорная
"город Ташкент, Яккасарайский район, Малая кольцевая дорога",Яккасарайский,3,70,2,5,70000
"город Ташкент, Мирзо-Улугбекский район, ТТЗ-4",Мирзо-Улугбекский,3,58,1,4,47000
"город Ташкент, Шайхантахурский район, Богкуча",Шайхантахурский,2,65,3,4,56500
"город Ташкент, Учтепинский район, Чиланзар 14-й квартал",Учтепинский,2,50,1,4,36000
"город Ташкент, Мирзо-Улугбекский район, Феруза-2",Мирзо-Улугбекский,1,42,1,4,26500
"город Ташкент, Юнусабадский район, Юнусабад 11-й квартал",Юнусабадский,2,58,2,4,41500
"город Ташкент, Мирабадский район, Ферганская",Мирабадский,3,64,4,4,38500
"город Ташкент, Мирзо-Улугбекский район, Буз-1 (Буз базар) ",Мирзо-Улугбекский,2,50,4,4,35000
"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,3,100,6,7,75000
"город Ташкент, Мирзо-Улугбекский район, Дурмон йули",Мирзо-Улугбекский,2,45,3,7,45000
"город Ташкент, Мирзо-Улугбекский район, Дурмон йули",Мирзо-Улугбекский,2,38,4,5,35000
"город Ташкент, Мирзо-Улугбекский район, Олимлар (Морозова) ",Мирзо-Улугбекский,4,86,2,5,80000
"город Ташкент, Мирзо-Улугбекский район, Аккурган",Мирзо-Улугбекский,1,38,3,4,42000
"город Ташкент, Юнусабадский район, Юнусабад 8-й квартал",Юнусабадский,2,49,2,4,36000
"город Ташкент, Учтепинский район, Изза",Учтепинский,2,56,6,9,34500
"город Ташкент, Сергелийский район, Сергели-VII",Сергелийский,3,85,1,9,59000
"город Ташкент, Олмазорский район, Каракамыш-1/2",Олмазорский,2,58,4,5,36000
"город Ташкент, Мирзо-Улугбекский район, Буз-1 (Буз базар) ",Мирзо-Улугбекский,2,50,5,5,35000
"город Ташкент, Яшнободский район, Ц -13",Яшнободский,2,65,3,4,56500
"город Ташкент, Мирзо-Улугбекский район, Буз-1 (Буз базар) ",Мирзо-Улугбекский,2,55,5,5,35000
"город Ташкент, Шайхантахурский район, набережная Анхора",Шайхантахурский,3,78,1,3,98000
"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,2,47,2,4,29000
"город Ташкент, Мирзо-Улугбекский район, Ялангач",Мирзо-Улугбекский,2,50,1,4,30000
"город Ташкент, Мирзо-Улугбекский район, Олой",Мирзо-Улугбекский,2,45,2,5,33500
"город Ташкент, Чиланзарский район, Чиланзар 3-й квартал",Чиланзарский,2,48,4,4,32500
"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Учтепинский,2,42,4,5,28500
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,2,47,2,4,38700
"город Ташкент, Мирабадский район, Садыка Азимова (Жуковского) ",Мирабадский,1,40,4,4,46500
"город Ташкент, Мирзо-Улугбекский район, Городок Тракторостроителей 2-й квартал",Мирзо-Улугбекский,2,66,6,9,33500
"город Ташкент, Чиланзарский район, Кичик Халка йули",Чиланзарский,3,60,1,4,41500
"город Ташкент, Олмазорский район, Ачабод",Олмазорский,1,58,4,7,46000
"город Ташкент, Юнусабадский район, Кашгар",Юнусабадский,2,59,2,4,57000
"город Ташкент, Мирабадский район, Инокобод",Мирабадский,4,125,2,4,65000
"город Ташкент, Шайхантахурский район, Бирлик",Шайхантахурский,7,230,2,5,230000
"город Ташкент, Мирзо-Улугбекский район, Городок Тракторостроителей 2-й квартал",Мирзо-Улугбекский,2,60,4,4,34000
"город Ташкент, Мирабадский район, Госпитальный",Мирабадский,3,135,3,9,88000
"город Ташкент, Мирзо-Улугбекский район, Городок Тракторостроителей 1-й квартал",Мирзо-Улугбекский,2,50,3,4,33000
"город Ташкент, Шайхантахурский район, Чорсу",Шайхантахурский,2,78,3,5,71000
"город Ташкент, Мирзо-Улугбекский район, Городок Тракторостроителей 1-й квартал",Мирзо-Улугбекский,2,48,4,4,28000
"город Ташкент, Мирзо-Улугбекский район, Хумаюн",Мирзо-Улугбекский,2,56,3,5,31000
"город Ташкент, Мирзо-Улугбекский район, Навнихол",Мирзо-Улугбекский,2,45,3,7,45000
"город Ташкент, Мирзо-Улугбекский район, Олимлар (Морозова) ",Мирзо-Улугбекский,4,86,2,5,80000
"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,2,56,5,5,31000
"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак Йули",Мирзо-Улугбекский,3,72,4,4,80000
"город Ташкент, Мирабадский район, 6-й проезд Мироншаха",Мирабадский,3,75,3,4,74000
"город Ташкент, Шайхантахурский район, Абая",Шайхантахурский,2,47,4,4,36000
"город Ташкент, Мирзо-Улугбекский район, Городок Тракторостроителей 1-й квартал",Мирзо-Улугбекский,2,55,2,3,29000
"город Ташкент, Мирзо-Улугбекский район, Чуст",Мирзо-Улугбекский,2,65,3,4,47000
"город Ташкент, Мирзо-Улугбекский район, Карасу 6-й квартал",Мирзо-Улугбекский,2,55,2,2,29500
"город Ташкент, Мирзо-Улугбекский район, Аккурган",Мирзо-Улугбекский,3,72,4,5,67000
"город Ташкент, Мирабадский район, Нукус",Мирабадский,2,64,4,4,52000
"город Ташкент, Мирзо-Улугбекский район, Ахмада Югнаки",Мирзо-Улугбекский,2,60,5,5,31000
"город Ташкент, Юнусабадский район, Минор",Юнусабадский,4,100,3,5,85000
"город Ташкент, Мирзо-Улугбекский район, мв.Ялангач",Мирзо-Улугбекский,3,65,3,4,38000
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,32,2,5,26500
"город Ташкент, Чиланзарский район, Чиланзар-20",Чиланзарский,1,42,2,5,26000
"город Ташкент, Чиланзарский район",Чиланзарский,1,45,2,5,29500
"город Ташкент, Чиланзарский район, Чиланзар-10",Чиланзарский,1,36,1,5,27500
"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,2,50,2,4,38500
"город Ташкент, Чиланзарский район",Чиланзарский,2,60,3,4,38000
"город Ташкент, Чиланзарский район",Чиланзарский,2,50,1,4,35000
"город Ташкент, Мирзо-Улугбекский район, 1-й Паркентский проезд",Мирзо-Улугбекский,1,40,3,3,30000
"город Ташкент, Мирзо-Улугбекский район, Феруза-1",Мирзо-Улугбекский,5,100,4,4,48000
"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,3,115,2,9,115000
"город Ташкент, Шайхантахурский район, Жарарик",Шайхантахурский,3,71,2,6,45000
"город Ташкент, Шайхантахурский район, Караташ",Шайхантахурский,4,90,5,5,65000
"город Ташкент, Мирзо-Улугбекский район, Интизор",Мирзо-Улугбекский,2,60,4,4,44000
"город Ташкент, Шайхантахурский район, Камолон",Шайхантахурский,3,72,4,9,60000
"город Ташкент, Юнусабадский район, Юнусабад 18-й квартал",Юнусабадский,2,62,1,4,40500
"город Ташкент, Мирзо-Улугбекский район, Карасу 3-й квартал",Мирзо-Улугбекский,4,93,3,5,62000
"город Ташкент, Чиланзарский район, Чиланзар 1-й квартал",Чиланзарский,3,65,5,5,50000
"город Ташкент, Учтепинский район, Ширин (Подмосковная) ",Учтепинский,3,70,5,5,40100
"город Ташкент, Бектемирский район, Сувсоз-2 (Водник-2) ",Бектемирский,4,94,9,9,40000
"город Ташкент, Чиланзарский район, 1-й проезд Домбрабад",Чиланзарский,1,32,4,4,25500
"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",Учтепинский,2,72,5,12,40000
"город Ташкент, Мирзо-Улугбекский район, 1-й проезд Гульсанам",Мирзо-Улугбекский,2,45,1,4,22000
"город Ташкент, Чиланзарский район, Ташкентская кольцевая автомобильная дорога",Чиланзарский,2,46,3,5,35000
"город Ташкент, Мирабадский район, Афросиаб (пр-т Косманавтов) ",Мирабадский,1,45,3,9,59000
"город Ташкент, Чиланзарский район, Чиланзар метро",Чиланзарский,3,88,6,8,50000
"город Ташкент, Яшнободский район, Янги Давр",Яшнободский,3,69.80,2,7,45370
"город Ташкент, Мирзо-Улугбекский район, Элобод",Мирзо-Улугбекский,3,72,2,8,48500
"город Ташкент, Юнусабадский район, Юнусабад 6 квартал",Юнусабадский,1,38,4,4,26000
"город Ташкент, Мирзо-Улугбекский район, Элобод",Мирзо-Улугбекский,4,85,2,4,69900
"город Ташкент, Яшнободский район, Ташкентская кольцевая автомобильная дорога",Яшнободский,2,60,2,6,30000
"город Ташкент, Мирзо-Улугбекский район, Сайрам",Мирзо-Улугбекский,3,86,2,5,57000
"город Ташкент, Шайхантахурский район, Лабзак",Шайхантахурский,2,65,3,4,56500
"город Ташкент, Яшнободский район, Садыка Азимова (Жуковского) ",Яшнободский,2,60,6,9,80000
"город Ташкент, Яккасарайский район, Юнус Ражабий",Яккасарайский,2,95,8,9,130000
"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак Йули",Мирзо-Улугбекский,3,74,9,9,54000
"город Ташкент, Сергелийский район, Sergeli 6a",Сергелийский,2,49,6,7,Договорная
"город Ташкент, Яккасарайский район, Шота Руставели",Яккасарайский,2,51.14,5,5,56000
"город Ташкент, Учтепинский район, Учтепа 15",Учтепинский,4,80,2,5,51500
"город Ташкент, Мирзо-Улугбекский район, Дархан",Мирзо-Улугбекский,3,105,5,6,86000
"город Ташкент, Яккасарайский район, Мост Мукимий",Яккасарайский,2,70,8,9,48000
"город Ташкент, Мирзо-Улугбекский район, Садык Азимова",Мирзо-Улугбекский,2,65,2,4,68000
"город Ташкент, Мирзо-Улугбекский район, Интизор",Мирзо-Улугбекский,3,80,4,4,37000
"город Ташкент, Мирзо-Улугбекский район, Феруза 1",Мирзо-Улугбекский,2,48,1,4,28000
"город Ташкент, Мирзо-Улугбекский район, Элобод",Мирзо-Улугбекский,1,38,1,4,39500
"город Ташкент, Чиланзарский район, Китайское здание",Чиланзарский,1,38,2,4,24000
"город Ташкент, Яккасарайский район, Богсарой",Яккасарайский,3,72,1,5,72898
"город Ташкент, Мирзо-Улугбекский район, Элобод",Мирзо-Улугбекский,1,23.80,2,4,21000
"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",Учтепинский,2,50,1,4,38000
"город Ташкент, Яшнободский район, Чулпон",Яшнободский,1,28,1,3,19000
"город Ташкент, Юнусабадский район, ц-5 Киёт (Ц-5) ",Юнусабадский,3,68,4,4,70000
"город Ташкент, Яккасарайский район, Башлык",Яккасарайский,4,96,9,9,49000
"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,2,52,1,4,34500
"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,5,118,9,9,50000
"город Ташкент, Мирзо-Улугбекский район, Магрур (Индустриальная) ",Мирзо-Улугбекский,2,40,1,3,25499
"город Ташкент, Шайхантахурский район, 1-й проезд Бог",Шайхантахурский,2,55,4,9,33000
"город Ташкент, Яшнободский район, жилой комплекс Обод Макон",Яшнободский,3,63,5,5,Договорная
"город Ташкент, Учтепинский район, Чиланзар 22-й квартал",Учтепинский,3,65,4,4,34200
"город Ташкент, Мирабадский район, Нукус",Мирабадский,2,48.60,3,4,43700
"город Ташкент, Сергелийский район, Сергели-IV",Сергелийский,2,52,1,4,41000
"город Ташкент, Мирабадский район, Таллимаржон",Мирабадский,3,72,3,9,52000
"город Ташкент, Учтепинский район, Учтепа-13 ориентир Фархадский Базар",Учтепинский,4,88,5,5,45000
"город Ташкент, Шайхантахурский район, 2-й тупик Хуршида",Шайхантахурский,2,58,3,4,57000
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,62,3,4,39500
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,60,2,5,38500
"город Ташкент, Чиланзарский район, Чиланзар-9",Чиланзарский,2,50,2,5,35500
"город Ташкент, Чиланзарский район",Чиланзарский,2,50,2,4,33500
"город Ташкент, Чиланзарский район, Чиланзар-16",Чиланзарский,1,36,2,4,25500
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,30,4,4,24500
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,40,3,4,28500
"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,42,2,5,26500
"город Ташкент, Шайхантахурский район, Камолон",Шайхантахурский,3,72,8,9,55000
"город Ташкент, Чиланзарский район, Чиланзар 17-й квартал",Чиланзарский,2,50,1,4,35500
"город Ташкент, Чиланзарский район, Шарк",Чиланзарский,3,90,8,9,42000
"город Ташкент, Мирабадский район, Салар",Мирабадский,2,69,9,10,62000
"город Ташкент, Чиланзарский район, Чиланзар 9",Чиланзарский,2,56,1,4,49000
"город Ташкент, Учтепинский район, Чупон-Ота",Учтепинский,2,80,8,8,41744
"город Ташкент, Чиланзарский район, Малая кольцевая дорога",Чиланзарский,2,57,8,9,36000
"город Ташкент, Юнусабадский район, Юнусабад 4-й квартал",Юнусабадский,2,55,2,4,33000
"город Ташкент, Яккасарайский район, 1-й проезд Миробод",Яккасарайский,3,100,7,9,77000
"город Ташкент, Яккасарайский район, Башлык",Яккасарайский,1,39,1,5,27500
"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,2,49,1,4,43000
"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,4,80,4,5,40000
"город Ташкент, Шайхантахурский район, Караташ",Шайхантахурский,2,50,8,12,31000
"город Ташкент, Чиланзарский район, жилой комплекс Новза",Чиланзарский,4,125,3,9,210000
